backend,component,batch,warmup,iters,mean_ms,std_ms,min_ms,max_ms
CPU-NdArray,bio_encode,1,3,3,915.98,12.51,907.09,933.67
CPU-NdArray,text_encode,1,3,3,130.77,0.59,130.15,131.56
CPU-NdArray,full_forward,1,3,3,1351.56,7.16,1342.37,1359.84
CPU-NdArray,bio_encode,4,3,3,3558.55,10.75,3550.37,3573.74
CPU-NdArray,text_encode,4,3,3,393.08,0.54,392.64,393.84
CPU-NdArray,full_forward,4,3,3,4885.10,0.39,4884.69,4885.62
